record_id,governorate,city,region,year,month,date,latitude,longitude,utm32_easting,utm32_northing,population_density,urban_index,temperature_c,rainfall_mm,humidity_pct,ndvi_score,drought_pressure_score,electricity_pressure_score,tourism_pressure_score,observed_index,data_nature,observed_lag_1,observed_lag_2,observed_lag_3,observed_lag_6,observed_lag_12,rolling_mean_3,rolling_mean_6,target_stage1_tabular_score,target_stage2_lstm_score,lstm_agri_price_next_3m
EX24_Ariana_2018_04,Ariana,Ariana,Nord-Est,2018,4,2018-04-15,36.890535,10.174072,604615.89,4083372.7,1800,86.0,23.48,48.17,70.78,66.17,61.0,88.0,52.92,53.89,données du projet,44.69,46.72,34.2,61.89,62.46,41.870000000000005,43.78,41.36,71.62,71.62
EX24_Ariana_2018_05,Ariana,Ariana,Nord-Est,2018,5,2018-05-15,36.864844,10.124495,600231.81,4080469.34,1800,86.0,26.94,43.74,68.04,56.22,63.95,98.56,67.07,60.62,données du projet,53.89,44.69,46.72,44.11,71.21,48.43333333333333,42.446666666666665,54.5,74.45,74.45
EX24_Ariana_2018_06,Ariana,Ariana,Nord-Est,2018,6,2018-06-15,36.890674,10.165063,603812.93,4083378.23,1800,86.0,30.24,25.78,62.91,49.56,69.67,100.0,90.61,63.38,données du projet,60.62,53.89,44.69,31.07,74.78,53.06666666666666,45.19833333333333,63.81,82.9,82.9
EX24_Ariana_2018_07,Ariana,Ariana,Nord-Est,2018,7,2018-07-15,36.84189,10.134595,601162.32,4077933.63,1800,86.0,33.93,8.35,52.16,46.91,84.38,99.6,88.92,78.83,données du projet,63.38,60.62,53.89,34.2,76.0,59.29666666666666,50.583333333333336,81.8,73.15,73.15
EX24_Ariana_2018_08,Ariana,Ariana,Nord-Est,2018,8,2018-08-15,36.855739,10.160706,603471.8,4079497.93,1800,86.0,30.63,13.84,55.72,45.06,88.21,100.0,85.56,83.54,données du projet,78.83,63.38,60.62,46.72,79.15,67.61,58.02166666666667,94.89,60.78,60.78
EX24_Ariana_2018_09,Ariana,Ariana,Nord-Est,2018,9,2018-09-15,36.916761,10.162683,603565.62,4086269.7,1800,86.0,27.24,32.24,62.28,57.49,78.51,94.09,100.0,85.44,données du projet,83.54,78.83,63.38,44.69,61.03,75.25,64.15833333333333,46.91,46.9,46.9
EX24_Ariana_2018_10,Ariana,Ariana,Nord-Est,2018,10,2018-10-15,36.906497,10.148113,602281.45,4085115.33,1800,86.0,20.46,63.01,80.41,61.56,44.06,93.79,70.45,54.66,données du projet,85.44,83.54,78.83,53.89,61.89,82.60333333333334,70.95,55.43,36.36,36.36
EX24_Ariana_2018_11,Ariana,Ariana,Nord-Est,2018,11,2018-11-15,36.846458,10.160078,603428.33,4078467.61,1800,86.0,17.4,90.36,83.09,74.63,29.16,86.13,79.36,47.24,données du projet,54.66,85.44,83.54,60.62,44.11,74.54666666666667,71.07833333333333,21.21,30.89,30.89
EX24_Ariana_2018_12,Ariana,Ariana,Nord-Est,2018,12,2018-12-15,36.890588,10.197097,606667.61,4083404.03,1800,86.0,13.54,101.05,89.98,74.49,9.24,77.31,51.65,35.97,données du projet,47.24,54.66,85.44,63.38,31.07,62.44666666666666,68.84833333333334,28.53,33.69,33.69
EX24_Ariana_2019_01,Ariana,Ariana,Nord-Est,2019,1,2019-01-15,36.859905,10.176899,604909.77,4079977.74,1800,86.0,14.11,118.79,92.24,72.21,26.95,78.3,70.1,37.15,données du projet,35.97,47.24,54.66,78.83,34.2,45.95666666666667,64.28,33.02,43.82,43.82
EX24_Ariana_2019_02,Ariana,Ariana,Nord-Est,2019,2,2019-02-15,36.888003,10.155732,602985.07,4083071.86,1800,86.0,11.46,128.21,87.48,75.73,9.99,82.04,55.84,26.11,données du projet,37.15,35.97,47.24,83.54,46.72,40.12,57.333333333333336,42.98,60.36,60.36
EX24_Ariana_2019_03,Ariana,Ariana,Nord-Est,2019,3,2019-03-15,36.802296,10.130583,600856.52,4073536.92,1800,86.0,20.13,99.88,78.09,71.87,29.94,86.3,66.07,49.07,données du projet,26.11,37.15,35.97,85.44,44.69,33.07666666666667,47.76166666666666,76.47,74.76,74.76
EX24_Ariana_2019_04,Ariana,Ariana,Nord-Est,2019,4,2019-04-15,36.901796,10.196302,606581.12,4084646.51,1800,86.0,21.52,50.5,70.17,67.62,63.98,90.5,58.26,66.28,données du projet,49.07,26.11,37.15,54.66,53.89,37.443333333333335,41.7,44.34,69.61,69.61
EX24_Ariana_2019_05,Ariana,Ariana,Nord-Est,2019,5,2019-05-15,36.834037,10.229222,609610.94,4077166.82,1800,86.0,25.23,60.28,65.37,56.87,60.89,90.61,67.24,64.51,données du projet,66.28,49.07,26.11,47.24,60.62,47.153333333333336,43.63666666666668,82.38,85.11,85.11
EX24_Ariana_2019_06,Ariana,Ariana,Nord-Est,2019,6,2019-06-15,36.876643,10.165831,603900.43,4081822.51,1800,86.0,33.13,40.12,61.9,41.12,76.14,97.24,84.03,78.22,données du projet,64.51,66.28,49.07,35.97,63.38,59.95333333333334,46.51500000000001,78.74,76.99,76.99
EX24_Ariana_2019_07,Ariana,Ariana,Nord-Est,2019,7,2019-07-15,36.920348,10.205022,607332.05,4086714.46,1800,86.0,34.41,15.35,59.35,47.64,88.31,100.0,86.0,73.77,données du projet,78.22,64.51,66.28,37.15,78.83,69.67,53.55666666666667,91.78,69.95,69.95
EX24_Ariana_2019_08,Ariana,Ariana,Nord-Est,2019,8,2019-08-15,36.865592,10.149973,602501.85,4080579.39,1800,86.0,32.6,6.58,54.25,46.5,82.41,100.0,88.0,79.09,données du projet,73.77,78.22,64.51,26.11,83.54,72.16666666666667,59.660000000000004,75.54,61.58,61.58
EX24_Ariana_2019_09,Ariana,Ariana,Nord-Est,2019,9,2019-09-15,36.854999,10.11292,599212.72,4079365.15,1800,86.0,27.34,55.09,65.91,57.89,62.61,94.22,100.0,74.68,données du projet,79.09,73.77,78.22,49.07,85.44,77.02666666666667,68.49000000000001,63.67,51.09,51.09
EX24_Ariana_2019_10,Ariana,Ariana,Nord-Est,2019,10,2019-10-15,36.855909,10.159407,603355.81,4079515.33,1800,86.0,21.22,86.98,77.64,58.82,27.86,84.56,68.83,58.9,données du projet,74.68,79.09,73.77,66.28,54.66,75.84666666666668,72.75833333333334,41.51,40.09,40.09
EX24_Ariana_2019_11,Ariana,Ariana,Nord-Est,2019,11,2019-11-15,36.887499,10.18012,605159.03,4083042.45,1800,86.0,15.86,103.42,80.99,76.16,16.79,83.84,71.28,44.86,données du projet,58.9,74.68,79.09,64.51,47.24,70.89,71.52833333333334,42.59,39.45,39.45
EX24_Ariana_2019_12,Ariana,Ariana,Nord-Est,2019,12,2019-12-15,36.924052,10.16187,603483.38,4087077.7,1800,86.0,12.83,95.56,92.74,71.61,9.5,81.49,45.71,42.65,données du projet,44.86,58.9,74.68,78.22,35.97,59.48,68.25333333333334,37.57,39.89,39.89
EX24_Ariana_2020_01,Ariana,Ariana,Nord-Est,2020,1,2020-01-15,36.836826,10.165906,603961.03,4077405.45,1800,86.0,13.33,96.47,92.29,77.23,24.59,74.81,66.36,38.22,données du projet,42.65,44.86,58.9,73.77,37.15,48.803333333333335,62.324999999999996,43.53,47.46,47.46
EX24_Ariana_2020_02,Ariana,Ariana,Nord-Est,2020,2,2020-02-15,36.823705,10.145939,602198.0,4075928.22,1800,86.0,11.41,79.96,91.56,85.11,21.1,85.69,59.39,35.44,données du projet,38.22,42.65,44.86,79.09,26.11,41.91,56.4,39.22,50.79,50.79
EX24_Ariana_2020_03,Ariana,Ariana,Nord-Est,2020,3,2020-03-15,36.845652,10.168629,604191.86,4078387.53,1800,86.0,18.81,74.24,81.19,74.21,27.57,77.49,77.62,47.42,données du projet,35.44,38.22,42.65,74.68,49.07,38.77,49.125,64.45,68.97,68.97
EX24_Ariana_2020_04,Ariana,Ariana,Nord-Est,2020,4,2020-04-15,36.833446,10.111815,599142.06,4076972.91,1800,86.0,23.63,52.63,69.27,51.63,47.42,93.14,67.84,59.71,données du projet,47.42,35.44,38.22,58.9,66.28,40.36,44.58166666666667,54.42,77.39,77.39
EX24_Ariana_2020_05,Ariana,Ariana,Nord-Est,2020,5,2020-05-15,36.864682,10.207565,607636.7,4080541.77,1800,86.0,24.58,62.99,67.32,64.56,63.77,89.74,64.31,66.26,données du projet,59.71,47.42,35.44,44.86,64.51,47.52333333333333,44.71666666666667,75.2,91.79,91.79
EX24_Ariana_2020_06,Ariana,Ariana,Nord-Est,2020,6,2020-06-15,36.831827,10.137042,601393.76,4076819.84,1800,86.0,28.47,48.75,53.84,57.52,72.19,100.0,87.67,78.29,données du projet,66.26,59.71,47.42,42.65,78.22,57.796666666666674,48.28333333333334,96.26,89.48,89.48
EX24_Ariana_2020_07,Ariana,Ariana,Nord-Est,2020,7,2020-07-15,36.860155,10.150415,602548.52,4079976.71,1800,86.0,33.04,30.18,50.01,42.53,92.22,100.0,100.0,90.03,données du projet,78.29,66.26,59.71,38.22,73.77,68.08666666666667,54.223333333333336,86.43,78.07,78.07
EX24_Ariana_2020_08,Ariana,Ariana,Nord-Est,2020,8,2020-08-15,36.865281,10.143588,601933.09,4080538.06,1800,86.0,30.6,18.72,60.08,55.47,93.86,99.56,85.22,94.31,données du projet,90.03,78.29,66.26,35.44,79.09,78.19333333333334,62.85833333333333,79.07,71.47,71.47
EX24_Ariana_2020_09,Ariana,Ariana,Nord-Est,2020,9,2020-09-15,36.880037,10.184386,605549.41,4082219.36,1800,86.0,27.21,42.35,64.37,57.95,65.63,95.85,98.74,81.15,données du projet,94.31,90.03,78.29,47.42,74.68,87.54333333333334,72.67,81.02,53.88,53.88
EX24_Ariana_2020_10,Ariana,Ariana,Nord-Est,2020,10,2020-10-15,36.86202,10.165335,603875.96,4080199.77,1800,86.0,21.32,59.55,74.1,67.2,50.39,91.4,59.09,68.02,données du projet,81.15,94.31,90.03,59.71,58.9,88.49666666666667,78.29166666666667,49.01,43.81,43.81
EX24_Ariana_2020_11,Ariana,Ariana,Nord-Est,2020,11,2020-11-15,36.89329,10.138795,601468.77,4083640.24,1800,86.0,18.01,89.45,82.71,72.74,31.64,73.75,70.05,57.77,données du projet,68.02,81.15,94.31,66.26,44.86,81.16000000000001,79.67666666666666,37.03,39.37,39.37
EX24_Ariana_2020_12,Ariana,Ariana,Nord-Est,2020,12,2020-12-15,36.87631,10.171804,604433.19,4081792.14,1800,86.0,13.91,108.08,84.85,74.65,6.34,75.64,71.2,39.51,données du projet,57.77,68.02,81.15,78.29,42.65,68.98,78.26166666666667,31.49,39.0,39.0
EX24_Ariana_2021_01,Ariana,Ariana,Nord-Est,2021,1,2021-01-15,36.91143,10.15284,602695.97,4085667.68,1800,86.0,12.29,95.45,90.22,84.29,2.43,85.37,71.87,31.11,données du projet,39.51,57.77,68.02,90.03,38.22,55.1,71.79833333333333,38.64,45.22,45.22
EX24_Ariana_2021_02,Ariana,Ariana,Nord-Est,2021,2,2021-02-15,36.885346,10.126136,600351.22,4082745.51,1800,86.0,15.24,80.8,83.96,79.76,18.13,86.54,66.48,40.33,données du projet,31.11,39.51,57.77,94.31,35.44,42.796666666666674,61.97833333333333,37.17,55.85,55.85
EX24_Ariana_2021_03,Ariana,Ariana,Nord-Est,2021,3,2021-03-15,36.893816,10.142493,601797.57,4083702.54,1800,86.0,16.86,72.71,78.51,67.83,32.48,90.75,68.45,42.37,données du projet,40.33,31.11,39.51,81.15,47.42,36.983333333333334,52.98166666666666,53.1,72.69,72.69
EX24_Ariana_2021_04,Ariana,Ariana,Nord-Est,2021,4,2021-04-15,36.874063,10.140503,601646.52,4081509.0,1800,86.0,22.56,48.77,71.98,62.21,49.46,90.35,57.37,62.52,données du projet,42.37,40.33,31.11,68.02,59.71,37.93666666666667,46.518333333333324,52.51,77.22,77.22
EX24_Ariana_2021_05,Ariana,Ariana,Nord-Est,2021,5,2021-05-15,36.863048,10.195235,606539.95,4080346.72,1800,86.0,27.35,41.86,66.62,64.96,63.44,92.28,66.29,66.5,données du projet,62.52,42.37,40.33,57.77,66.26,48.40666666666667,45.60166666666667,91.0,80.83,80.83
EX24_Ariana_2021_06,Ariana,Ariana,Nord-Est,2021,6,2021-06-15,36.873754,10.174954,604717.42,4081511.99,1800,86.0,26.9,18.28,63.37,46.38,80.72,89.32,89.9,81.98,données du projet,66.5,62.52,42.37,39.51,78.29,57.13,47.056666666666665,77.59,84.19,84.19
EX24_Ariana_2021_07,Ariana,Ariana,Nord-Est,2021,7,2021-07-15,36.90379,10.160551,603393.18,4084828.45,1800,86.0,31.39,26.05,50.61,45.14,82.68,100.0,87.36,76.62,données du projet,81.98,66.5,62.52,31.11,90.03,70.33333333333333,54.135,83.37,74.98,74.98
EX24_Ariana_2021_08,Ariana,Ariana,Nord-Est,2021,8,2021-08-15,36.904188,10.152052,602635.47,4084863.32,1800,86.0,32.75,39.07,55.8,47.25,74.79,92.9,87.82,83.58,données du projet,76.62,81.98,66.5,40.33,94.31,75.03333333333335,61.72,70.72,70.48,70.48
EX24_Ariana_2021_09,Ariana,Ariana,Nord-Est,2021,9,2021-09-15,36.849811,10.181588,605341.55,4078863.14,1800,86.0,27.8,32.83,56.84,52.34,58.22,94.41,88.39,83.1,données du projet,83.58,76.62,81.98,42.37,81.15,80.72666666666667,68.92833333333333,76.91,54.83,54.83
EX24_Ariana_2021_10,Ariana,Ariana,Nord-Est,2021,10,2021-10-15,36.815528,10.182802,605496.85,4075061.22,1800,86.0,19.43,76.07,79.08,64.39,36.01,97.46,62.24,65.68,données du projet,83.1,83.58,76.62,62.52,68.02,81.10000000000001,75.71666666666667,40.51,43.37,43.37
EX24_Ariana_2021_11,Ariana,Ariana,Nord-Est,2021,11,2021-11-15,36.851285,10.159887,603404.85,4079002.92,1800,86.0,15.51,94.21,77.86,69.84,33.71,84.1,54.63,54.8,données du projet,65.68,83.1,83.58,66.5,57.77,77.45333333333333,76.24333333333334,48.34,45.1,45.1
EX24_Ariana_2021_12,Ariana,Ariana,Nord-Est,2021,12,2021-12-15,36.901172,10.155973,602988.83,4084533.06,1800,86.0,14.16,139.3,93.03,75.64,9.07,72.0,70.93,42.29,données du projet,54.8,65.68,83.1,81.98,39.51,67.86000000000001,74.29333333333334,38.41,38.51,38.51
EX24_Ariana_2022_01,Ariana,Ariana,Nord-Est,2022,1,2022-01-15,36.860944,10.137176,601367.26,4080050.05,1800,86.0,11.44,101.24,84.15,76.57,15.49,82.02,48.64,37.72,données du projet,42.29,54.8,65.68,76.62,31.11,54.25666666666667,67.67833333333333,41.52,48.77,48.77
EX24_Ariana_2022_02,Ariana,Ariana,Nord-Est,2022,2,2022-02-15,36.854947,10.152615,602751.6,4079401.31,1800,86.0,13.72,89.26,84.33,75.03,18.61,79.72,71.48,35.49,données du projet,37.72,42.29,54.8,83.58,40.33,44.93666666666667,61.195,39.68,67.02,67.02
EX24_Ariana_2022_03,Ariana,Ariana,Nord-Est,2022,3,2022-03-15,36.884684,10.159085,603288.38,4082707.22,1800,86.0,19.48,103.01,81.78,74.11,26.81,84.08,59.19,51.89,données du projet,35.49,37.72,42.29,83.1,42.37,38.50000000000001,53.18000000000001,81.04,79.67,79.67
EX24_Ariana_2022_04,Ariana,Ariana,Nord-Est,2022,4,2022-04-15,36.84028,10.151677,602687.61,4077773.22,1800,86.0,23.48,67.81,73.4,66.64,54.48,86.24,61.97,66.08,données du projet,51.89,35.49,37.72,65.68,62.52,41.7,47.97833333333333,71.99,87.4,87.4
EX24_Ariana_2022_05,Ariana,Ariana,Nord-Est,2022,5,2022-05-15,36.866886,10.144749,602034.49,4080717.39,1800,86.0,26.64,44.41,75.04,60.75,63.34,100.0,60.91,80.74,données du projet,66.08,51.89,35.49,54.8,66.5,51.15333333333334,48.044999999999995,84.47,87.78,87.78
EX24_Ariana_2022_06,Ariana,Ariana,Nord-Est,2022,6,2022-06-15,36.851491,10.172816,604557.2,4079039.79,1800,86.0,30.75,14.66,65.32,54.01,78.91,93.24,86.91,86.28,données du projet,80.74,66.08,51.89,42.29,81.98,66.23666666666666,52.36833333333333,100.0,81.26,81.26
EX24_Ariana_2022_07,Ariana,Ariana,Nord-Est,2022,7,2022-07-15,36.924495,10.209714,607744.16,4087179.84,1800,86.0,31.43,13.23,58.64,41.28,85.47,85.02,95.27,87.96,données du projet,86.28,80.74,66.08,37.72,76.62,77.7,59.699999999999996,68.72,75.55,75.55
EX24_Ariana_2022_08,Ariana,Ariana,Nord-Est,2022,8,2022-08-15,36.916732,10.122173,599957.09,4086223.24,1800,86.0,26.75,43.96,66.31,47.76,78.16,100.0,84.75,79.91,données du projet,87.96,86.28,80.74,35.49,83.58,84.99333333333334,68.07333333333334,73.88,60.89,60.89
EX24_Ariana_2022_09,Ariana,Ariana,Nord-Est,2022,9,2022-09-15,36.854363,10.161586,603552.12,4079346.24,1800,86.0,26.22,28.39,70.01,58.59,67.47,99.55,73.24,73.15,données du projet,79.91,87.96,86.28,51.89,83.1,84.71666666666665,75.47666666666667,53.26,52.05,52.05
EX24_Ariana_2022_10,Ariana,Ariana,Nord-Est,2022,10,2022-10-15,36.922477,10.219707,608637.08,4086967.27,1800,86.0,20.13,59.31,80.07,63.88,34.98,86.4,60.69,68.8,données du projet,73.15,79.91,87.96,66.08,65.68,80.34000000000002,79.02,57.74,42.87,42.87
EX24_Ariana_2022_11,Ariana,Ariana,Nord-Est,2022,11,2022-11-15,36.849531,10.094773,597601.86,4078739.81,1800,86.0,16.84,83.37,86.82,77.44,17.85,99.84,72.2,52.19,données du projet,68.8,73.15,79.91,80.74,54.8,73.95333333333333,79.47333333333333,35.3,36.62,36.62
EX24_Ariana_2022_12,Ariana,Ariana,Nord-Est,2022,12,2022-12-15,36.855272,10.19753,606755.3,4079486.6,1800,86.0,13.31,83.29,93.59,80.7,10.72,85.18,54.21,37.95,données du projet,52.19,68.8,73.15,86.28,42.29,64.71333333333334,74.715,40.33,41.14,41.14
EX24_Ariana_2023_01,Ariana,Ariana,Nord-Est,2023,1,2023-01-15,36.849225,10.205682,607490.58,4078824.96,1800,86.0,11.66,106.78,83.5,77.66,11.34,87.75,62.27,36.55,données du projet,37.95,52.19,68.8,87.96,37.72,52.98,66.66,42.68,50.14,50.14
EX24_Ariana_2023_02,Ariana,Ariana,Nord-Est,2023,2,2023-02-15,36.870947,10.176938,604898.15,4081202.79,1800,86.0,13.8,85.67,94.76,80.61,23.53,87.28,61.39,33.67,données du projet,36.55,37.95,52.19,79.91,35.49,42.230000000000004,58.09166666666667,33.23,65.03,65.03
EX24_Ariana_2023_03,Ariana,Ariana,Nord-Est,2023,3,2023-03-15,36.863127,10.176992,604913.58,4080335.3,1800,86.0,18.44,75.83,86.62,70.98,33.53,88.82,71.88,48.48,données du projet,33.67,36.55,37.95,73.15,51.89,36.05666666666667,50.38499999999999,62.68,75.07,75.07
EX24_Ariana_2023_04,Ariana,Ariana,Nord-Est,2023,4,2023-04-15,36.858649,10.172314,604502.73,4079833.37,1800,86.0,23.26,71.47,69.0,53.53,50.96,89.61,73.79,66.87,données du projet,48.48,33.67,36.55,68.8,66.08,39.56666666666667,46.27333333333333,86.3,76.14,76.14
EX24_Ariana_2023_05,Ariana,Ariana,Nord-Est,2023,5,2023-05-15,36.920803,10.170478,604254.45,4086726.6,1800,86.0,25.63,47.2,65.12,64.25,62.18,94.82,64.2,75.26,données du projet,66.87,48.48,33.67,52.19,80.74,49.673333333333346,45.95166666666666,93.45,82.13,82.13
EX24_Ariana_2023_06,Ariana,Ariana,Nord-Est,2023,6,2023-06-15,36.844207,10.160201,603442.39,4078218.09,1800,86.0,29.93,27.66,60.88,51.26,71.08,99.73,92.57,79.32,données du projet,75.26,66.87,48.48,37.95,86.28,63.53666666666667,49.79666666666666,98.12,89.21,89.21
EX24_Ariana_2023_07,Ariana,Ariana,Nord-Est,2023,7,2023-07-15,36.869389,10.134843,601148.2,4080984.48,1800,86.0,33.15,0.0,48.64,52.47,100.0,100.0,78.61,92.89,données du projet,79.32,75.26,66.87,36.55,87.96,73.81666666666668,56.69166666666666,73.38,81.96,81.96
EX24_Ariana_2023_08,Ariana,Ariana,Nord-Est,2023,8,2023-08-15,36.934645,10.2011,606962.74,4088296.16,1800,86.0,30.38,32.15,59.12,50.16,78.35,99.36,89.93,84.87,données du projet,92.89,79.32,75.26,33.67,79.91,82.49000000000001,66.08166666666666,100.0,71.16,71.16
EX24_Ariana_2023_09,Ariana,Ariana,Nord-Est,2023,9,2023-09-15,36.875419,10.143879,601945.58,4081663.04,1800,86.0,26.16,29.38,71.98,57.43,68.03,100.0,100.0,87.4,données du projet,84.87,92.89,79.32,48.48,73.15,85.69333333333334,74.61500000000001,76.2,50.17,50.17
EX24_Ariana_2023_10,Ariana,Ariana,Nord-Est,2023,10,2023-10-15,36.862044,10.17243,604508.47,4080210.12,1800,86.0,20.57,70.26,74.14,63.87,43.5,96.33,55.59,63.88,données du projet,87.4,84.87,92.89,66.87,68.8,88.3866666666667,81.10166666666667,67.28,45.94,45.94
EX24_Ariana_2023_11,Ariana,Ariana,Nord-Est,2023,11,2023-11-15,36.845433,10.188784,605989.24,4078385.35,1800,86.0,17.28,74.25,84.49,80.61,36.12,91.63,68.3,58.5,données du projet,63.88,87.4,84.87,75.26,52.19,78.71666666666668,80.60333333333334,30.14,40.61,40.61
EX24_Ariana_2023_12,Ariana,Ariana,Nord-Est,2023,12,2023-12-15,36.86459,10.193028,606341.08,4080515.33,1800,86.0,12.43,105.27,84.49,81.42,0.56,87.16,70.27,38.32,données du projet,58.5,63.88,87.4,79.32,37.95,69.92666666666668,77.81,25.96,38.08,38.08
EX24_Ariana_2024_01,Ariana,Ariana,Nord-Est,2024,1,2024-01-15,36.866903,10.176409,604856.52,4080753.55,1800,86.0,11.35,108.16,94.68,81.69,15.96,76.59,58.37,37.02,données du projet,38.32,58.5,63.88,92.89,36.55,53.566666666666684,70.97666666666667,34.3,51.63,51.63
EX24_Ariana_2024_02,Ariana,Ariana,Nord-Est,2024,2,2024-02-15,36.833663,10.170941,604414.3,4077060.05,1800,86.0,15.13,97.35,87.77,77.08,19.0,87.7,73.27,37.6,données du projet,37.02,38.32,58.5,84.87,33.67,44.613333333333344,61.66500000000001,71.6,62.02,62.02
EX24_Ariana_2024_03,Ariana,Ariana,Nord-Est,2024,3,2024-03-15,36.881248,10.147699,602278.25,4082313.83,1800,86.0,17.42,73.2,77.51,74.78,37.82,94.51,54.85,60.71,données du projet,37.6,37.02,38.32,87.4,48.48,37.64666666666668,53.78666666666666,50.57,75.3,75.3
EX24_Ariana_2024_04,Ariana,Ariana,Nord-Est,2024,4,2024-04-15,36.856227,10.1583,603256.69,4079549.49,1800,86.0,22.56,66.44,76.28,57.65,61.32,84.28,70.27,59.53,données du projet,60.71,37.6,37.02,63.88,66.87,45.110000000000014,49.33833333333334,59.56,79.32,79.32
